name,carrier_name,commission
Accident Fund General Insurance Company,Accident Fund General Insurance Company,3.0
Accident Fund Insurance Company,Accident Fund Insurance Company,5.0
Accident Fund National Insurance Company,Accident Fund National Insurance Company,5.0
Accident Insurance Company,Accident Insurance Company,5.0
Accredited Specialty Insurance Company,Accredited Specialty Insurance Company,12.0
ACE American Insurance Company,ACE American Insurance Company,7.0
Aero Insurance,Aero Insurance,12.0
American Builders Ins Co,American Builders Ins Co,12.0
"American Builders Ins Co RRG, Inc","American Builders Ins Co RRG, Inc",12.0
American Builders Insurance,American Builders Insurance,12.0
American Builders Insurance Company,American Builders Insurance Company,12.0
AmFed National Insurance Company,AmFed National Insurance Company,5.0
amguard,amguard,3.0
AmGUARD Insurance Company,AmGUARD Insurance Company,3.0
Amguard Insurance Corp,Amguard Insurance Corp,3.0
AmTrust Insurance Company,AmTrust Insurance Company,5.0
"AmWINS Group, Inc.","AmWINS Group, Inc.",10.0
Appalachian Insurance Company,Appalachian Insurance Company,10.0
Assigned Risk,Assigned Risk,3.0
Ategrity Specialty Ins Co,Ategrity Specialty Ins Co,5.0
Berkshire Hathaway Direct Insurance Company,Berkshire Hathaway Direct Insurance Company,5.0
Best Choice Insurance,Best Choice Insurance,15.0
BiBerk,BiBerk,5.0
BOLT Insurance,BOLT Insurance,7.0
Bonds Express,Bonds Express,5.0
BTIS Insurance,BTIS Insurance,15.0
Builders Mutual Insurance Company,Builders Mutual Insurance Company,5.0
Burlington Insurance Company,Burlington Insurance Company,10.0
Certain Underwriters at Lloyd's,Certain Underwriters at Lloyd's,10.0
Certain Underwriters at Lloyd's of London,Certain Underwriters at Lloyd's of London,10.0
"Certain Underwriters at Lloyd's, London","Certain Underwriters at Lloyd's, London",10.0
Champlain Specialty Ins Co,Champlain Specialty Ins Co,5.0
Clear Spring American Insurance Company,Clear Spring American Insurance Company,15.0
Clear Spring Property and Casualty Company,Clear Spring Property and Casualty Company,15.0
Coast National Insurance Company,Coast National Insurance Company,5.0
Concert Specialty Ins Co,Concert Specialty Ins Co,5.0
Concert Specialty Insurance Company,Concert Specialty Insurance Company,5.0
CONTINENTAL CASUALTY CO,CONTINENTAL CASUALTY CO,10.0
Continental Casualty Company,Continental Casualty Company,10.0
Contractors Bonding and Insurance Company,Contractors Bonding and Insurance Company,5.0
Coterie Insurance,Coterie Insurance,10.0
