policy_number,effective_date,broker_fee,commission,broker,policy_type,carrier,expiration_date,broker_fee_amount,commission_amount,source_file,broker_email,status,premium
66910220,2024-01-08,$200.00,$38.00,randall@jmgia.com,Bond,Simple Bonds,2025-01-08,200.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
102146-9-24,2024-01-11,"$2,000.00",$0.00,randall@jmgia.com,Workers Compensation,NJCRIB,2025-01-11,2000.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
26044537,2024-01-12,$500.00,$0.00,mike@jmgia.com,Workers Compensation,NYSIF,2025-01-12,500.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Expired,0.0
807179,2024-01-12,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Bolt Insurance,2025-01-12,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
00840905-1,2024-01-19,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2025-01-19,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
833042,2024-01-19,$200.00,$0.00,randall@jmgia.com,Bond,Bonds Express,2025-01-19,200.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
966096800,2024-01-23,$300.00,$0.00,randall@jmgia.com,Commercial Auto,Progressive,2025-01-23,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
976896474,2024-01-27,$500.00,$0.00,grey@jmgia.com,Commercial Auto,Progressive,2025-01-27,500.0,0.0,Sales Epay 2024 - Sheet1.csv,grey@jmgia.com,Expired,0.0
2089365,2024-01-30,$320.65,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-01-30,320.65,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
100615136,2024-02-02,$150.00,$0.00,randall@jmgia.com,Bond,Bonds Express,2025-02-02,150.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
2605 3710,2024-02-06,$400.00,$0.00,mike@jmgia.com,Workers Compensation,NYSIF,2025-02-06,400.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Expired,0.0
66525262,2024-02-08,$200.00,$0.00,randall@jmgia.com,Bond,Bonds Express,2025-02-08,200.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
2058982,2024-02-09,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-02-09,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
2106352,2024-02-14,$300.28,$0.00,chelsea@jmgia.com,Workers Compensation,Texas Mutual,2025-02-14,300.28,0.0,Sales Epay 2024 - Sheet1.csv,chelsea@jmgia.com,Expired,0.0
0100294271-0,2024-02-20,$400.00,$350.00,mike@jmgia.com,General Liability,Appalachian Insurance Company,2025-02-20,400.0,0.0,Sales Epay 2024 - Sheet1.csv,mike@jmgia.com,Expired,0.0
66962107,2024-02-20,$149.00,$23.00,justin@jmgia.com,Bond,Simple Bonds,2025-02-20,149.0,0.0,Sales Epay 2024 - Sheet1.csv,justin@jmgia.com,Expired,0.0
2106759,2024-02-22,$300.00,$0.00,randall@jmgia.com,Workers Compensation,Texas Mutual,2025-02-22,300.0,0.0,Sales Epay 2024 - Sheet1.csv,randall@jmgia.com,Expired,0.0
2106774,2024-02-22,$300.00,$0.00,chelsea@jmgia.com,Workers Compensation,Texas Mutual,2025-02-22,300.0,0.0,Sales Epay 2024 - Sheet1.csv,chelsea@jmgia.com,Expired,0.0
66964354,2024-02-23,$81.00,$113.00,justin@jmgia.com,Bond,Simple Bonds,2025-02-23,81.0,0.0,Sales Epay 2024 - Sheet1.csv,justin@jmgia.com,Expired,0.0
